Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
905;1;1135;1;ApplicazioneSDM;;1;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
906;1;1135;2;codiceUnita;;10;;;0;;0;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
908;1;1138;1;CodiceANIA;;1;profiloutente;CodiceANIA;0;;0;0;1;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
915;1;1139;1;ProvinciaIscrizione;Provincia di iscrizione;501;;;0;;0;0;0;1;1;1;;28;"                                                                                                                                                                                                                                                          ";0
916;3;1139;2;numeroIscrizione;Numero iscrizione;19;;;0;;0;0;0;0;0;0;;28;"                                                                                                                                                                                                                                                          ";0
917;5;1139;3;dataIscrizione;Data iscrizione;-1;;;0;;0;0;0;1;0;0;;28;"                                                                                                                                                                                                                                                          ";0
918;1;1145;1;codiceUnita;Codice unità;1;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
919;1;1146;1;codiceUnita;codiceUnita;1;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
920;1;1147;1;codiceUnita;codiceUnita;1;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
921;1;1153;1;SCRArea1SDM;;1;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
922;1;1154;1;SCRArea2SDM;;1;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
